open_ts,open_price,highest_price,lowest_price,close_price,volume,close_ts,turnover,trade_num,buy_vol,buy_turnover,ignore
1633027440000,43854.87000000,43997.52000000,43851.03000000,43915.50000000,143.94751000,1633027499999,6326574.34175720,4098,88.49192000,3888923.64206930,0
1633027500000,43915.50000000,44044.23000000,43903.40000000,44004.51000000,255.56262000,1633027559999,11242272.82460110,4994,202.49827000,8908225.37205270,0
1633027560000,44012.83000000,44021.25000000,43862.06000000,43927.79000000,111.03278000,1633027619999,4876488.00589370,5443,61.47495000,2699739.55564560,0
1633027620000,43927.80000000,43944.33000000,43879.41000000,43879.42000000,75.38025000,1633027679999,3308685.20448550,1589,24.56261000,1078387.64872580,0
1633027680000,43879.42000000,43919.99000000,43861.18000000,43861.20000000,78.43427000,1633027739999,3441830.35299750,1428,34.19379000,1500552.06175460,0
1633027740000,43861.20000000,43929.00000000,43861.18000000,43917.27000000,38.99654000,1633027799999,1711912.47319200,1429,25.42321000,1115999.06686490,0
1633027800000,43917.26000000,43996.00000000,43900.01000000,43965.23000000,38.09360000,1633027859999,1674606.41719840,1456,24.23465000,1065343.57428530,0
1633027860000,43963.99000000,43963.99000000,43900.00000000,43956.42000000,44.01434000,1633027919999,1933606.47571870,1431,25.76815000,1132008.81376540,0
1633027920000,43956.41000000,44021.00000000,43945.66000000,43983.47000000,53.13611000,1633027979999,2336898.76986260,1461,35.51194000,1561761.74064290,0
1633027980000,43983.47000000,44029.28000000,43983.47000000,44006.21000000,26.88459000,1633028039999,1182949.86122270,1147,16.02544000,705125.59315820,0
1633028040000,44006.22000000,44006.22000000,43940.56000000,43951.80000000,57.03553000,1633028099999,2508009.00724950,1203,26.81258000,1178889.40686210,0
1633028100000,43951.81000000,44000.00000000,43943.16000000,43983.01000000,27.33984000,1633028159999,1202164.99904760,1153,18.03813000,793118.60966640,0
1633028160000,43983.01000000,44015.99000000,43959.90000000,43959.91000000,48.76341000,1633028219999,2145090.73739330,1343,31.68361000,1393798.23534990,0
1633028220000,43959.90000000,43987.99000000,43944.19000000,43949.03000000,28.72482000,1633028279999,1262891.59992750,1162,16.85286000,741006.62039770,0
1633028280000,43949.03000000,43992.31000000,43949.03000000,43982.06000000,23.28686000,1633028339999,1024061.41369520,991,13.78808000,606333.19327830,0
1633028340000,43982.05000000,44033.35000000,43968.13000000,43994.08000000,51.27145000,1633028399999,2256025.92419840,1246,38.67547000,1701885.76545700,0
1633028400000,43994.08000000,44141.37000000,43994.08000000,44131.81000000,112.21903000,1633028459999,4946697.59271280,3275,79.41456000,3501287.99394320,0
1633028460000,44097.20000000,44132.99000000,44024.01000000,44045.53000000,110.49183000,1633028519999,4870895.60247150,2344,73.54394000,3242563.25884820,0
1633028520000,44049.78000000,44120.35000000,44044.97000000,44107.46000000,37.77331000,1633028579999,1665565.60405570,1208,23.48866000,1035683.69843770,0
1633028580000,44107.46000000,44107.46000000,43983.42000000,43990.43000000,55.12450000,1633028639999,2428369.38450540,1781,14.22773000,626788.53461160,0
1633028640000,43990.45000000,44037.05000000,43940.80000000,43951.55000000,33.76826000,1633028699999,1485662.38846430,1233,15.09775000,664264.94582840,0
1633028700000,43951.55000000,43969.92000000,43905.58000000,43920.98000000,59.49980000,1633028759999,2614105.64791450,1502,28.42534000,1249046.34181660,0
1633028760000,43920.98000000,43929.79000000,43869.66000000,43912.72000000,55.08284000,1633028819999,2418026.70689620,1202,15.81782000,694397.20010850,0
1633028820000,43912.72000000,43934.32000000,43889.18000000,43897.73000000,32.14811000,1633028879999,1411789.44062090,894,9.01339000,395807.41149490,0
1633028880000,43897.73000000,43915.00000000,43877.02000000,43907.99000000,32.28978000,1633028939999,1417494.95821850,826,9.67160000,424553.78942300,0
